"","Mittelwert","CI (unten)","CI (oben)","Name","Fraktion","Kommission"
"2",-11.1256171152074,-15.2318138948898,-8.01143067090657,"Fricker Jonas","G","APK"
"3",-11.0060882345679,-15.111126452474,-7.84039418567568,"Arslan Sibel","G","APK"
"4",-10.9849350152142,-15.153108286642,-7.77091062216211,"Graf Maya","G","APK"
"5",-10.9587682088672,-15.2376442977117,-7.70739162134482,"de la Reussille Denis","G","APK"
"6",-10.9107685331543,-15.1343766776813,-7.72936960511382,"Schelbert Louis","G","APK"
"7",-10.8489987449046,-14.8642246188203,-7.80163926778753,"Mazzone Lisa","G","APK"
"8",-10.8058155219602,-15.0023987716742,-7.68912021487476,"Marti Min Li","S","APK"
"9",-10.7462138382509,-14.8676816446248,-7.72754442773387,"Fehlmann Rielle Laurence","S","APK"
"10",-10.6556127459365,-14.7825183034867,-7.53897432251676,"Thorens Goumaz Ad\`ele","G","APK"
"11",-10.5667138435516,-14.735203444179,-7.51103336189488,"Amarelle Cesla","S","APK"
"12",-10.5617812819375,-14.5821663593124,-7.43842117139174,"Ruiz Rebecca Ana","S","APK"
"13",-10.556214473657,-14.4171472142818,-7.58379090078683,"Schenker Silvia","S","APK"
"14",-10.5549631456584,-14.563119640558,-7.56276817214672,"Tsch\""app\""at Alexander","S","APK"
"15",-10.5520949598224,-14.5123910237807,-7.53961828118524,"Munz Martina","S","APK"
"16",-10.5493558561517,-14.576452650548,-7.54168088910277,"Hardegger Thomas","S","APK"
"17",-10.5473734599285,-14.5142066410793,-7.55929707996785,"Seiler Graf Priska","S","APK"
"18",-10.5473525047545,-14.464731672888,-7.63709920312643,"Gysi Barbara","S","APK"
"19",-10.5450774451966,-14.4814461480663,-7.63212135579223,"Fridez Pierre-Alain","S","APK"
"20",-10.5449880637371,-14.5665861758831,-7.48649996223549,"Wermuth C\'edric","S","APK"
"21",-10.5392084210307,-14.494535843523,-7.55533274280668,"Carobbio Guscetti Marina","S","APK"
"22",-10.5368622024708,-14.5556953110925,-7.6161868827526,"Maire Jacques-Andr\'e","S","APK"
"23",-10.5284260130269,-14.332519324552,-7.588446790056,"Naef Martin","S","APK"
"24",-10.5280110873851,-14.4331234197803,-7.55109959786461,"Feri Yvonne","S","APK"
"25",-10.5238202904888,-14.4898582313542,-7.56028253262774,"Piller Carrard Val\'erie","S","APK"
"26",-10.5230779683195,-14.5625940131816,-7.52905953383144,"Aebischer Matthias","S","APK"
"27",-10.5179947321748,-14.5298290323426,-7.50311150058058,"Friedl Claudia","S","APK"
"28",-10.5128950933434,-14.2817133029181,-7.58756824913806,"Graf-Litscher Edith","S","APK"
"29",-10.5102270894255,-14.529854308072,-7.45002719567891,"Barrile Angelo","S","APK"
"30",-10.5025788760581,-14.5148842845308,-7.45626906807135,"Marra Ada","S","APK"
"31",-10.5009916171044,-14.4435769700835,-7.55316120616863,"Hadorn Philipp","S","APK"
"32",-10.495450234376,-14.3266166954305,-7.44746126129065,"Meyer Mattea","S","APK"
"33",-10.4512806094985,-14.5096607607603,-7.31693215317041,"Masshardt Nadine","S","APK"
